"i","j","n","method","mean_ISE","sd_ISE","median_ISE","IQR_ISE"
1,1,100,"WK",7.90541200101852e-06,NA,7.90541200101852e-06,0
1,1,100,"LG",4.95237218436923e-05,NA,4.95237218436923e-05,0
1,1,200,"WK",5.63174453315614e-06,NA,5.63174453315614e-06,0
1,1,200,"LG",5.61032221502609e-05,NA,5.61032221502609e-05,0
1,2,100,"WK",8.90526870550534e-07,NA,8.90526870550534e-07,0
1,2,100,"LG",2.05632910648066e-05,NA,2.05632910648066e-05,0
1,2,200,"WK",1.14748634749634e-06,NA,1.14748634749634e-06,0
1,2,200,"LG",1.7365212607916e-05,NA,1.7365212607916e-05,0
1,3,100,"WK",2.29215863578184e-06,NA,2.29215863578184e-06,0
1,3,100,"LG",1.61870849649012e-05,NA,1.61870849649012e-05,0
1,3,200,"WK",3.93170526428496e-07,NA,3.93170526428496e-07,0
1,3,200,"LG",9.06544540517709e-06,NA,9.06544540517709e-06,0
2,1,100,"WK",0.000381460804042572,NA,0.000381460804042572,0
2,1,100,"LG",0.00057551384806382,NA,0.00057551384806382,0
2,1,200,"WK",0.000320476145351737,NA,0.000320476145351737,0
2,1,200,"LG",0.00144511671106973,NA,0.00144511671106973,0
2,2,100,"WK",0.00107325088238341,NA,0.00107325088238341,0
2,2,100,"LG",0.000516276931394176,NA,0.000516276931394176,0
2,2,200,"WK",0.000627592468297207,NA,0.000627592468297207,0
2,2,200,"LG",0.000467668593290369,NA,0.000467668593290369,0
2,3,100,"WK",0.00331060009233567,NA,0.00331060009233567,0
2,3,100,"LG",0.000899065328483057,NA,0.000899065328483057,0
2,3,200,"WK",0.00496500503541718,NA,0.00496500503541718,0
2,3,200,"LG",0.000918066004460127,NA,0.000918066004460127,0
3,1,100,"WK",0.000606772611807223,NA,0.000606772611807223,0
3,1,100,"LG",0.000542360966782248,NA,0.000542360966782248,0
3,1,200,"WK",0.000313187755672298,NA,0.000313187755672298,0
3,1,200,"LG",0.000257602080889164,NA,0.000257602080889164,0
3,2,100,"WK",0.000627237325715031,NA,0.000627237325715031,0
3,2,100,"LG",0.000241022131895479,NA,0.000241022131895479,0
3,2,200,"WK",0.00028083754842135,NA,0.00028083754842135,0
3,2,200,"LG",0.000471478777440968,NA,0.000471478777440968,0
3,3,100,"WK",0.000344844596785356,NA,0.000344844596785356,0
3,3,100,"LG",0.000696373365569038,NA,0.000696373365569038,0
3,3,200,"WK",0.000745224108444766,NA,0.000745224108444766,0
3,3,200,"LG",0.000628750644694993,NA,0.000628750644694993,0
