"i","j","n","method","ISE"
1,1,100,"WK",7.90541200101852e-06
1,1,100,"LG",4.95237218436923e-05
1,1,200,"WK",5.63174453315614e-06
1,1,200,"LG",5.61032221502609e-05
1,2,100,"WK",8.90526870550534e-07
1,2,100,"LG",2.05632910648066e-05
1,2,200,"WK",1.14748634749634e-06
1,2,200,"LG",1.7365212607916e-05
1,3,100,"WK",2.29215863578184e-06
1,3,100,"LG",1.61870849649012e-05
1,3,200,"WK",3.93170526428496e-07
1,3,200,"LG",9.06544540517709e-06
2,1,100,"WK",0.000381460804042572
2,1,100,"LG",0.00057551384806382
2,1,200,"WK",0.000320476145351737
2,1,200,"LG",0.00144511671106973
2,2,100,"WK",0.00107325088238341
2,2,100,"LG",0.000516276931394176
2,2,200,"WK",0.000627592468297207
2,2,200,"LG",0.000467668593290369
2,3,100,"WK",0.00331060009233567
2,3,100,"LG",0.000899065328483057
2,3,200,"WK",0.00496500503541718
2,3,200,"LG",0.000918066004460127
3,1,100,"WK",0.000606772611807223
3,1,100,"LG",0.000542360966782248
3,1,200,"WK",0.000313187755672298
3,1,200,"LG",0.000257602080889164
3,2,100,"WK",0.000627237325715031
3,2,100,"LG",0.000241022131895479
3,2,200,"WK",0.00028083754842135
3,2,200,"LG",0.000471478777440968
3,3,100,"WK",0.000344844596785356
3,3,100,"LG",0.000696373365569038
3,3,200,"WK",0.000745224108444766
3,3,200,"LG",0.000628750644694993
