"j","n","method","ISE","time_seconds"
1,100,"WK",0.00100222633205049,129.656561136246
1,100,"LG",0.000989578321711688,187.518709897995
1,200,"WK",0.000511224220229078,184.928696393967
1,200,"LG",0.000685801045081336,990.361736774445
2,100,"WK",0.000310351485279721,9.43470644950867
2,100,"LG",0.00239852994716907,1549.43494534492
2,200,"WK",0.000816017615678867,162.898108005524
2,200,"LG",0.00145577848642302,3280.80604982376
3,100,"WK",0.0048582105884803,33.3609745502472
3,100,"LG",1.53081849177733e-09,59.1995298862457
3,200,"WK",0.00336685945235006,184.294637680054
3,200,"LG",1.47719679775984e-09,189.101272344589
4,100,"WK",7.73864245111777e-12,9.20980310440063
4,100,"LG",7.26335055419416e-12,56.2552306652069
4,200,"WK",7.73864244498077e-12,22.155109167099
4,200,"LG",6.61502184726589e-12,186.11682343483
5,100,"WK",0.229421474792001,26.1560335159302
5,100,"LG",0.000517521787874457,130.453863143921
5,200,"WK",0.0976869632803563,35.9457514286041
5,200,"LG",0.00843059999802661,381.476528644562
6,100,"WK",0.100952641508597,67.5127654075623
6,100,"LG",7.2912328670557e-05,56.2710211277008
6,200,"WK",0.104279356888255,101.385496616364
6,200,"LG",0.000174806370165519,178.449746608734
1,100,"WK",0.000379416489673084,68.0456457138062
1,100,"LG",0.00164595447656966,959.350490093231
1,200,"WK",0.000352575775446813,144.832466840744
1,200,"LG",0.00130000980809803,1770.98044061661
2,100,"WK",0.000250863586205023,9.11202931404114
2,100,"LG",0.00165981600320547,895.633340597153
2,200,"WK",0.000829920373667567,24.8735363483429
2,200,"LG",0.00167405298154471,1663.11555743217
3,100,"WK",0.0644241330136021,34.8672745227814
3,100,"LG",4.49941897896296e-06,109.613651275635
3,200,"WK",0.00153023114710536,93.8917489051819
3,200,"LG",0.000605800270291631,1325.02640104294
4,100,"WK",7.73148455500259e-12,9.28625702857971
4,100,"LG",0.176826151987108,413.085035562515
4,200,"WK",7.7386424509267e-12,21.1899311542511
4,200,"LG",0.0335000256640808,603.13437628746
5,100,"WK",0.00926002488021899,15.7102560997009
5,100,"LG",3.11253477102552e-05,56.2327816486359
5,200,"WK",0.0934406182128533,49.4820199012756
5,200,"LG",5.59015376535486e-05,186.729862689972
6,100,"WK",0.0498033426918356,91.1287682056427
6,100,"LG",0.000163629634653786,59.9566216468811
6,200,"WK",0.0689670346643857,64.809684753418
6,200,"LG",0.103782118786268,734.884282827377
1,100,"WK",0.000597078626420555,32.3631908893585
1,100,"LG",0.0015902879595813,810.554317712784
1,200,"WK",0.000443828272571799,170.236221790314
1,200,"LG",0.000923382749229412,1411.07205677032
2,100,"WK",0.000834663944792949,87.1893374919891
2,100,"LG",0.000972980740313937,647.217489004135
2,200,"WK",0.00105436397250798,117.823382377625
2,200,"LG",0.00151151242235398,2124.22907423973
3,100,"WK",0.00055280278031899,25.8177740573883
3,100,"LG",1.41907106244742e-09,57.7819440364838
3,200,"WK",0.0128817884460602,52.9937646389008
3,200,"LG",7.20902307670246e-05,399.813655138016
4,100,"WK",7.73864245112052e-12,9.24185228347778
4,100,"LG",7.45438150552367e-12,56.8762509822845
4,200,"WK",7.57002854837241e-12,21.4397184848785
4,200,"LG",0.298308819964531,1113.25239372253
5,100,"WK",0.0851489879762213,26.8111734390259
5,100,"LG",0.0275870561614577,236.364188671112
5,200,"WK",0.00422644687758352,34.0566847324371
5,200,"LG",0.0608838546104711,640.515455245972
6,100,"WK",0.00055929481458118,9.51405191421509
6,100,"LG",0.1126461612946,358.321731090546
6,200,"WK",0.000362292591871367,22.6483573913574
6,200,"LG",0.000751570075325628,285.172710418701
1,100,"WK",0.000791494780591062,113.214089870453
1,100,"LG",0.000824909219546343,876.378605365753
1,200,"WK",0.00102690975408393,137.460346460342
1,200,"LG",0.000446996597749821,603.09849524498
2,100,"WK",0.00113884983352929,59.9178965091705
2,100,"LG",0.00102608550423897,676.417718648911
2,200,"WK",0.00129005765399229,106.517024993896
2,200,"LG",0.00193035235822867,1256.25957727432
3,100,"WK",1.62868760739236e-09,9.03539562225342
3,100,"LG",0.00424237246025134,1276.14365172386
3,200,"WK",0.00298330057753219,134.216027021408
3,200,"LG",0.000166754104397127,503.135132312775
4,100,"WK",6.21697213755732e-12,9.44958066940308
4,100,"LG",2.28021851631336e-10,58.4845609664917
4,200,"WK",7.73861639039274e-12,22.0666854381561
4,200,"LG",0.000899300271381817,601.290363788605
5,100,"WK",0.000273169331667768,9.33376836776733
5,100,"LG",8.37776627650371e-05,56.9479374885559
5,200,"WK",0.000304423685122777,21.7899622917175
5,200,"LG",0.00822178838610321,391.33364367485
6,100,"WK",0.118479495302097,79.281174659729
6,100,"LG",0.118619773468188,359.713696241379
6,200,"WK",0.0374462032178622,38.6587338447571
6,200,"LG",0.0941691156598258,788.937316894531
1,100,"WK",0.00076761745733529,53.2645874023438
1,100,"LG",0.000902506783541903,440.353759765625
1,200,"WK",0.000545524370635817,86.8889594078064
1,200,"LG",0.00129627251184611,1697.42784428596
2,100,"WK",0.00121343891628956,81.263843536377
2,100,"LG",0.000870299834971696,903.549555301666
2,200,"WK",0.00140544282001962,284.752692222595
2,200,"LG",0.00116426388442127,893.238694190979
3,100,"WK",0.00414772429312721,88.9365677833557
3,100,"LG",0.00394122104743148,1002.04696702957
3,200,"WK",1.63454630326411e-09,21.3056206703186
3,200,"LG",0.00210178589008172,646.286948680878
4,100,"WK",7.73864245111985e-12,9.39298820495605
4,100,"LG",6.32798140610242e-12,57.2254037857056
4,200,"WK",7.56090730421247e-12,21.993551492691
4,200,"LG",0.00148490596407324,592.420233011246
5,100,"WK",0.189155298807061,26.1320395469666
5,100,"LG",0.00647135883214998,207.106179237366
5,200,"WK",0.140800597887005,54.9206790924072
5,200,"LG",0.00806255523485481,387.261304616928
6,100,"WK",0.126425776506888,49.4992668628693
6,100,"LG",0.138263723256401,353.958600282669
6,200,"WK",0.0450698531223339,43.2325298786163
